social_status	MEAN_SPPD
1	1
1	1
1	1.5
1	1
1	1
1	1
1	1
1	1
1	1
1	1.25
1	1
1	1.25
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1.75
1	2.25
1	1
1	1.25
1	1
1	2
1	1
1	1.5
1	1
1	1
1	1.75
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	3.75
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1.25
1	1
1	1
1	1
1	1
1	1
1	1.5
1	1
1	1
0	5
0	3.75
0	1.5
0	4.75
0	2.5
0	7
0	5
0	7
0	3.75
0	3.75
0	3
0	4
0	1.75
0	3
0	6.5
0	5
0	7
0	3.75
0	1
0	7
0	5.75
0	6
0	3.25
0	3.75
0	2
0	1
0	1
0	4
0	5.25
0	3
0	1
0	5.5
0	6.25
0	4.75
0	2.5
0	4.5
0	5
0	3
0	5.75
0	5.75
0	6
0	7
0	3.75
0	3.75
0	4.25
0	1.75
0	3.75
0	5.5
0	7
0	4
0	6.75
0	6.25
0	5
0	5.5
0	5.5
0	4.5
0	4.75
0	2.75
0	4.25
0	3.5
0	2.75
0	7
0	6.25
0	7
0	5.75
0	6.5
0	6.75
0	5
0	6
0	3.75
0	5
0	1.5
0	2.25
0	3.25
0	5.5
0	7
0	7
0	7
0	6.25
0	5.5
0	6
0	6.25
0	6.5
0	6.5
0	5.75
0	6
0	6
0	6.75
0	6.75
0	6.5
0	6.75
0	5
0	4
0	2.25
0	4.75
0	6.5
0	4.25
0	3
0	4.5
0	3.75
0	3.75
0	1.25
0	5
0	3.25
0	3
0	3.75
0	3.75
0	2.75
0	3
0	2.25
0	2
0	3.25
0	3
0	1
0	2
0	3
0	1
0	5.25
0	2.75
0	3
0	2
0	1
0	1.5
0	5.5
0	4
0	1
0	1
0	6.5
0	3
0	4.75
0	1.75
0	1.75
0	6.25
0	4.75
0	3.25
0	1
0	4
0	4
0	4.75
0	1.25
0	1
0	5.25
0	2.75
0	1
0	1.25
0	2.25
0	1
0	5
0	5.25
0	2.75
0	5.25
0	6
0	2.5
0	3.75
0	4
0	2.5
0	1.5
0	4.5
0	3.75
0	3.75
0	2
0	2.25
0	4.75
0	3.5
0	3
0	4.75
0	3.5
0	3.75
0	4.25
0	1
0	3.75
0	1
0	1.5
0	1
0	3.75
0	5.25
0	5.75
0	5.75
0	4.75
0	2.25
0	2.5
0	5.25
0	5.25
0	2.5
0	2.25
0	6
0	5.5
0	4
0	3.25
0	6.25
0	1.75
0	5.75
0	4.5
0	1.5
0	3.25
0	1
0	2
0	2.75
0	1
0	6.5
0	4.25
0	3
0	3.25
0	3.25
0	1.25
0	5.25
0	3.5
0	5.5
0	3
0	2.5
0	2.5
0	2
0	2.75
0	2
0	1.5
0	1
0	4
0	5
0	3
0	3
0	4.5
0	1.5
0	2.25
0	5.5
0	5.25
0	2.25
0	1.75
0	7
0	4.5
0	5.25
0	4.5
0	4.5
0	3.25
0	3
0	1.75
0	2.25
0	5
0	4.25
0	3
0	6
0	3.5
0	3.25
0	5.25
0	5.5
0	2
0	3.5
0	6.25
0	2
